n,fail,reward,coins_mean,coins_p10,coins_p90,earned,spent,fails,boosters,walls,broke
183,0.81,20,73,35,110,22,17.7,1.303,0.177,0.593,1.533
184,0.59,20,76,34,113,23.1,20,0.863,0.2,0.323,1.34
185,0.17,20,293,223,358,216.6,0,0.267,0,0,0
186,0.68,20,149,53,261,28.5,171.7,0.37,1.213,0.087,0.07
187,0.87,20,86,40,142,27.1,90.9,0.947,0.76,0.437,0.75
188,0.92,20,75,34,112,23.4,33.8,1.42,0.32,0.677,1.423
189,0.835,20,75,34,114,22.7,23,1.28,0.23,0.58,1.47
190,0.9,20,72,35,112,21.8,24.3,1.443,0.243,0.687,1.513
191,0.785,20,69,30,111,22.3,25.7,1.207,0.257,0.553,1.397
192,0.265,20,76,38,113,25.1,18,0.32,0.18,0.047,1.093
193,0.56,20,140,57,236,213.6,149.4,0.237,1.09,0.07,0.077
194,0.64,20,86,36,129,28.7,83.3,0.583,0.763,0.2,0.62
195,0.73,20,79,41,116,26,33.2,1.067,0.327,0.467,1.273
196,0.505,20,73,33,112,25.8,31,0.657,0.31,0.207,1.14
197,0.95,20,74,36,112,22.2,22,1.583,0.22,0.777,1.587
198,0.49,20,74,31,113,24.2,24.3,0.553,0.243,0.183,1.127
199,0.865,20,72,35,110,22.2,23.7,1.403,0.237,0.657,1.51
200,0.985,20,71,30,113,21,22.3,1.71,0.223,0.853,1.633
